1779,1860,2000
1782,1862,2000
1785,1864,2000
1787,1866,2000
1790,1868,2000
1793,1870,2000
1795,1872,2000
1798,1874,2000
1801,1876,2000
1804,1878,2000
1806,1881,2000
1809,1883,2000
1811,1885,2000
1814,1887,2000
1817,1889,2000
1819,1891,2000
1822,1893,2000
1825,1895,2000
1827,1898,2000
1830,1900,2000
1832,1902,2000
1835,1904,2000
1838,1906,2000
1840,1909,2000
1843,1911,2000
1845,1913,2000
1848,1915,2000
1851,1917,2000
1853,1920,2000
1856,1922,2000
1858,1924,2000
1861,1927,2000
1863,1929,2000
1866,1931,2000
1868,1933,2000
1871,1936,2000
1873,1938,2000
1876,1940,2000
1878,1943,2000
1881,1945,2000
1883,1948,2000
1886,1950,2000
1888,1952,2000
1891,1955,2000
1893,1957,2000
1896,1960,2000
1898,1962,2000
1900,1965,2000
1903,1967,2000
1905,1969,2000
1906,1965,2000
1907,1961,2000
1908,1957,2000
1909,1953,2000
1910,1948,2000
1910,1944,2000
1911,1940,2000
1912,1936,2000
1913,1932,2000
1914,1928,2000
1914,1924,2000
1915,1921,2000
1916,1917,2000
1916,1913,2000
1917,1909,2000
1918,1905,2000
1918,1902,2000
1919,1898,2000
1919,1894,2000
1920,1891,2000
1921,1887,2000
1921,1883,2000
1922,1880,2000
1922,1876,2000
1923,1872,2000
1923,1869,2000
1923,1865,2000
1924,1862,2000
1924,1858,2000
1925,1855,2000
1925,1851,2000
1925,1848,2000
1926,1845,2000
1926,1841,2000
1926,1838,2000
1926,1834,2000
1927,1831,2000
1927,1828,2000
1927,1824,2000
1927,1821,2000
1927,1818,2000
1927,1814,2000
1928,1811,2000
1928,1808,2000
1928,1805,2000
1928,1801,2000
1928,1798,2000
1928,1795,2000
1928,1792,2000
1928,1788,2000
1931,1792,2000
1934,1795,2000
1937,1798,2000
1940,1802,2000
1943,1805,2000
1946,1808,2000
1949,1812,2000
1952,1815,2000
1955,1818,2000
1957,1822,2000
1960,1825,2000
1963,1828,2000
1966,1832,2000
1969,1835,2000
1972,1838,2000
1975,1842,2000
1978,1845,2000
1980,1849,2000
1983,1852,2000
1986,1855,2000
1989,1859,2000
1991,1862,2000
1994,1866,2000
1997,1869,2000
2000,1873,2000
2002,1876,2000
2005,1880,2000
2007,1883,2000
2010,1886,2000
2013,1890,2000
2015,1893,2000
2018,1897,2000
2020,1900,2000
2023,1904,2000
2026,1907,2000
2028,1911,2000
2031,1914,2000
2033,1918,2000
2036,1922,2000
2038,1925,2000
2040,1929,2000
2043,1932,2000
2045,1936,2000
2048,1939,2000
2050,1943,2000
2052,1947,2000
2055,1950,2000
2057,1954,2000
2059,1957,2000
2061,1961,1000
2060,1956,1000
2059,1950,1000
2058,1945,1000
2057,1940,1000
2056,1935,1000
2055,1930,1000
2053,1924,1000
2052,1919,1000
2050,1914,1000
2049,1909,1000
2048,1904,1000
2046,1899,1000
2044,1894,1000
2043,1889,1000
2041,1884,1000
2039,1879,1000
2038,1874,1000
2036,1869,1000
2034,1864,1000
2032,1859,1000
2030,1854,1000
2028,1849,1000
2026,1844,1000
2024,1839,1000
2022,1834,1000
2020,1829,1000
2018,1824,1000
2015,1819,1000
2013,1814,1000
2011,1809,1000
2008,1804,1000
2006,1799,1000
2003,1794,1000
2001,1789,1000
1998,1784,1000
1996,1780,1000
1993,1775,1000
1990,1770,1000
1988,1765,1000
1985,1760,1000
1982,1755,1000
1979,1750,1000
1976,1745,1000
1973,1740,1000
1970,1735,1000
1967,1730,1000
1964,1725,1000
1961,1721,1000
1957,1716,1000
1954,1711,2000
1950,1711,2000
1945,1711,2000
1941,1711,2000
1936,1711,2000
1932,1712,2000
1927,1712,2000
1923,1712,2000
1918,1713,2000
1914,1713,2000
1909,1714,2000
1905,1714,2000
1900,1715,2000
1896,1716,2000
1892,1716,2000
1887,1717,2000
1883,1718,2000
1878,1719,2000
1874,1720,2000
1870,1721,2000
1865,1722,2000
1861,1723,2000
1856,1724,2000
1852,1725,2000
1847,1726,2000
1843,1727,2000
1839,1729,2000
1834,1730,2000
1830,1731,2000
1825,1733,2000
1821,1734,2000
1816,1736,2000
1812,1738,2000
1808,1739,2000
1803,1741,2000
1799,1743,2000
1794,1745,2000
1790,1746,2000
1785,1748,2000
1781,1750,2000
1776,1752,2000
1772,1755,2000
1767,1757,2000
1762,1759,2000
1758,1761,2000
1753,1764,2000
1749,1766,2000
1744,1769,2000
1739,1771,2000
1735,1774,2000
1730,1776,1000
1728,1773,1000
1727,1770,1000
1725,1767,1000
1724,1763,1000
1722,1760,1000
1721,1757,1000
1719,1754,1000
1717,1751,1000
1716,1748,1000
1714,1744,1000
1712,1741,1000
1711,1738,1000
1709,1735,1000
1707,1732,1000
1706,1729,1000
1704,1726,1000
1702,1722,1000
1700,1719,1000
1699,1716,1000
1697,1713,1000
1695,1710,1000
1693,1707,1000
1691,1704,1000
1690,1701,1000
1688,1698,1000
1686,1695,1000
1684,1692,1000
1682,1689,1000
1680,1685,1000
1678,1682,1000
1677,1679,1000
1675,1676,1000
1673,1673,1000
1671,1670,1000
1669,1667,1000
1667,1664,1000
1665,1661,1000
1663,1658,1000
1661,1655,1000
1659,1652,1000
1657,1649,1000
1655,1646,1000
1653,1643,1000
1651,1640,1000
1649,1638,1000
1647,1635,1000
1645,1632,1000
1643,1629,1000
1641,1626,1000
1639,1623,2000
1643,1625,2000
1647,1626,2000
1651,1628,2000
1655,1630,2000
1659,1632,2000
1663,1633,2000
1667,1635,2000
1671,1637,2000
1676,1639,2000
1680,1641,2000
1684,1643,2000
